date,flow
2020-04-09 17:22:42.091937,24496.936
2020-04-09 17:22:42.121139,25489.6
2020-04-09 17:22:42.147739,22962.44
2020-04-09 17:22:42.176881,22484.701
2020-04-09 17:22:42.210280,23776.479
2020-04-09 17:22:42.238657,18421.857
2020-04-09 17:22:42.266776,21026.836
2020-04-09 17:22:42.308277,15216.474
2020-04-09 17:22:42.337560,13087.686
2020-04-09 17:22:42.365939,11473.47
2020-04-09 17:22:42.403003,13385.624
2020-04-09 17:22:42.430883,13881.729
2020-04-09 17:22:42.455648,20339.154
2020-04-09 17:22:42.491670,19510.428
2020-04-09 17:22:42.521609,16738.709
2020-04-09 17:22:42.547870,18107.918
2020-04-09 17:22:42.576640,17926.434
2020-04-09 17:22:42.601692,12483.598
2020-04-09 17:22:42.627896,12423.038
2020-04-09 17:22:42.660906,12772.323
2020-04-09 17:22:42.689161,7738.6514
2020-04-09 17:22:42.737588,7674.7725
2020-04-09 17:22:42.765552,5771.67
2020-04-09 17:22:42.790649,5863.823
2020-04-09 17:22:42.827310,5861.7607
2020-04-09 17:22:42.855685,5347.752
2020-04-09 17:22:42.884217,6332.7188
2020-04-09 17:22:42.910678,8181.77
2020-04-09 17:22:42.941330,6392.4536
2020-04-09 17:22:42.968842,12020.815
2020-04-09 17:22:43.003665,18388.918
2020-04-09 17:22:43.035137,22556.455
2020-04-09 17:22:43.061253,19707.832
2020-04-09 17:22:43.085845,18303.164
2020-04-09 17:22:43.112684,23892.662
2020-04-09 17:22:43.139687,20514.809
2020-04-09 17:22:43.166617,23762.555
2020-04-09 17:22:43.198319,23528.104
2020-04-09 17:22:43.228536,16357.523
2020-04-09 17:22:43.255479,15053.291
2020-04-09 17:22:43.289352,8184.898
2020-04-09 17:22:43.319059,4978.2905
2020-04-09 17:22:43.348031,6707.782
2020-04-09 17:22:43.379303,8159.742
2020-04-09 17:22:43.405561,4596.3975
2020-04-09 17:22:43.437657,8679.045
2020-04-09 17:22:43.469659,6838.626
2020-04-09 17:22:43.507912,7993.4297
2020-04-09 17:22:43.535157,4741.027
2020-04-09 17:22:43.565032,6654.4155
2020-04-09 17:22:43.592386,3810.2695
2020-04-09 17:22:43.624552,6423.4565
2020-04-09 17:22:43.652260,6281.487
2020-04-09 17:22:43.681723,5918.4834
2020-04-09 17:22:43.713543,4949.3867
2020-04-09 17:22:43.742581,6007.3535
2020-04-09 17:22:43.772162,6346.303
2020-04-09 17:22:43.804075,3403.9182
2020-04-09 17:22:43.832879,2886.077
2020-04-09 17:22:43.862580,3606.9224
2020-04-09 17:22:43.893177,9071.307
2020-04-09 17:22:43.924857,12780.937
2020-04-09 17:22:43.955653,15088.003
2020-04-09 17:22:43.986262,14133.004
2020-04-09 17:22:44.014594,7949.1123
2020-04-09 17:22:44.044106,5466.4336
2020-04-09 17:22:44.071287,7349.1616
2020-04-09 17:22:44.102997,11399.172
2020-04-09 17:22:44.135435,16697.928
2020-04-09 17:22:44.165742,19214.576
2020-04-09 17:22:44.203471,16556.354
2020-04-09 17:22:44.230220,16127.498
2020-04-09 17:22:44.257330,17668.8
2020-04-09 17:22:44.285636,19996.256
