2020-01-31_16:59:18:817568
2020-01-31_16:59:18:876777
2020-01-31_16:59:18:932729
2020-01-31_16:59:18:983026
2020-01-31_16:59:19:034600
2020-01-31_16:59:19:092648
2020-01-31_16:59:19:143661
2020-01-31_16:59:19:194456
2020-01-31_16:59:19:245451
2020-01-31_16:59:19:301020
2020-01-31_16:59:19:355383
2020-01-31_16:59:19:406831
2020-01-31_16:59:19:458948
2020-01-31_16:59:19:510381
2020-01-31_16:59:19:560573
2020-01-31_16:59:19:613092
2020-01-31_16:59:19:663942
2020-01-31_16:59:19:663942
2020-01-31_16:59:19:715879
2020-01-31_16:59:19:766777
2020-01-31_16:59:19:819209
2020-01-31_16:59:19:869762
2020-01-31_16:59:19:926163
2020-01-31_16:59:19:980060
2020-01-31_16:59:20:034184
2020-01-31_16:59:20:089407
2020-01-31_16:59:20:140281
2020-01-31_16:59:20:193963
2020-01-31_16:59:20:243978
2020-01-31_16:59:20:296437
2020-01-31_16:59:20:348528
2020-01-31_16:59:20:405654
2020-01-31_16:59:20:456051
2020-01-31_16:59:20:506869
2020-01-31_16:59:20:558442
2020-01-31_16:59:20:610835
2020-01-31_16:59:20:610835
2020-01-31_16:59:20:667119
2020-01-31_16:59:20:720491
2020-01-31_16:59:20:773365
2020-01-31_16:59:20:824107
2020-01-31_16:59:20:878562
2020-01-31_16:59:20:931357
2020-01-31_16:59:20:983080
2020-01-31_16:59:21:038977
2020-01-31_16:59:21:089388
2020-01-31_16:59:21:142078
2020-01-31_16:59:21:195402
2020-01-31_16:59:21:248205
2020-01-31_16:59:21:300337
2020-01-31_16:59:21:355761
2020-01-31_16:59:21:408201
2020-01-31_16:59:21:459563
2020-01-31_16:59:21:511570
2020-01-31_16:59:21:564344
2020-01-31_16:59:21:564344
2020-01-31_16:59:21:621616
2020-01-31_16:59:21:672289
2020-01-31_16:59:21:729203
2020-01-31_16:59:21:779761
2020-01-31_16:59:21:832111
2020-01-31_16:59:21:889447
2020-01-31_16:59:21:946632
2020-01-31_16:59:21:998223
2020-01-31_16:59:22:048629
2020-01-31_16:59:22:099559
2020-01-31_16:59:22:157175
2020-01-31_16:59:22:207679
2020-01-31_16:59:22:258119
2020-01-31_16:59:22:310561
2020-01-31_16:59:22:310561
2020-01-31_16:59:22:364693
2020-01-31_16:59:22:423223
2020-01-31_16:59:22:475774
2020-01-31_16:59:22:525890
